dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E18_S1,13,0.38798423588626224,0.5899091245811923,0.5826018445100537,0.6474661344345064,0.5899091245811924,0.12682532
Mouse_Brain_E18_S1,2560,0.4027235820834106,0.5838837770813451,0.5764472695401741,0.6392769770467609,0.583883777081345,0.116455175
Mouse_Brain_E18_S1,641,0.32491197992855175,0.565424926061511,0.5577070272637642,0.6231396545231285,0.5654249260615111,0.100267805
Mouse_Brain_E18_S1,1892,0.4211880857254173,0.6105124049915615,0.6035718891773064,0.669454975744556,0.6105124049915616,0.11538053
Mouse_Brain_E18_S1,1173,0.5103937827696851,0.5981205218931671,0.5908523049165315,0.6453160618444781,0.5981205218931672,0.116533086
Mouse_Brain_E18_S1,69,0.4315868799922557,0.5925122658659646,0.5852305721266727,0.6482458258564013,0.5925122658659646,0.122171886
Mouse_Brain_E18_S1,2024,0.41824740752108536,0.596286474255559,0.5890900662301982,0.6544811128987474,0.5962864742555589,0.13332815
Mouse_Brain_E18_S1,231,0.38328915004320924,0.5781543887645078,0.570632743001488,0.6349240995235307,0.5781543887645078,0.11734338
Mouse_Brain_E18_S1,1971,0.41267045221140286,0.5861736073329039,0.5787596210081,0.6384828827929696,0.5861736073329039,0.11415397
Mouse_Brain_E18_S1,2497,0.4081609596338087,0.5887069452163993,0.5813508480246352,0.6436243832638403,0.5887069452163993,0.15437436
Mouse_Brain_E18_S1,338,0.35180447357321887,0.5698002002772526,0.5621529195556557,0.6274252837178041,0.5698002002772526,0.12737146
Mouse_Brain_E18_S1,3127,0.40938849208468914,0.5916557169659452,0.5843274354598157,0.6445431449323717,0.5916557169659452,0.10483825
Mouse_Brain_E18_S1,2001,0.4258946552180177,0.5841291150061774,0.5766715264429472,0.6368583637955495,0.5841291150061774,0.11550513
Mouse_Brain_E18_S1,2022,0.40425044546023964,0.6082708281876499,0.6013174500514181,0.6720742831083687,0.60827082818765,0.13855624
Mouse_Brain_E18_S1,574,0.4425366622436109,0.595051955547734,0.5878034262948223,0.6508830099558264,0.5950519555477342,0.131791
Mouse_Brain_E18_S1,2428,0.40643002032685455,0.5955709856868454,0.5882732432951057,0.643228022488279,0.5955709856868454,0.11332008
Mouse_Brain_E18_S1,999,0.43474478540579264,0.6132583769249893,0.6063219948252899,0.6675122115384523,0.6132583769249894,0.10250513
Mouse_Brain_E18_S1,1187,0.551645032739562,0.6172365349848895,0.6102895618152826,0.6577211400267082,0.6172365349848895,0.10429197
Mouse_Brain_E18_S1,42,0.39415612979726183,0.5888003689391423,0.5814849127768659,0.6486427671143,0.5888003689391423,0.12778313
Mouse_Brain_E18_S1,3999,0.45708760271397464,0.6030280627704504,0.5958999965446777,0.6561125820323429,0.6030280627704504,0.11044234
