dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E15_S1,13,0.6096307836357691,0.6044219805674387,0.5984776092969696,0.6269753813648797,0.6044219805674388,0.17802998
Mouse_Brain_E15_S1,2560,0.45506636181198235,0.6062471091830283,0.6002903790062856,0.6243729780049586,0.6062471091830284,0.19538082
Mouse_Brain_E15_S1,641,0.5682226625226442,0.6421166280427635,0.6366076528214627,0.6520677328904466,0.6421166280427634,0.14866789
Mouse_Brain_E15_S1,1892,0.45464745987808475,0.6187493586968986,0.6131697227787088,0.6568495354295418,0.6187493586968988,0.17373243
Mouse_Brain_E15_S1,1173,0.45336913017648856,0.581744909292249,0.5756545240494239,0.618984929098824,0.5817449092922491,0.15753071
Mouse_Brain_E15_S1,69,0.5089712488017345,0.6347531118373627,0.6293002246122011,0.6623127833723975,0.6347531118373627,0.1714386
Mouse_Brain_E15_S1,2024,0.46974226108944483,0.6130543676019954,0.6072347872757687,0.6359998094221732,0.6130543676019954,0.18661882
Mouse_Brain_E15_S1,231,0.4202400725962043,0.6012965668044207,0.5952546594804252,0.6196627396755269,0.6012965668044207,0.16210379
Mouse_Brain_E15_S1,1971,0.6024491706111863,0.6253510325027403,0.6195696217859493,0.6339447914459374,0.6253510325027402,0.17499563
Mouse_Brain_E15_S1,2497,0.48575550979917176,0.6035636015499363,0.5977101968306758,0.6356246548617713,0.6035636015499364,0.17096831
Mouse_Brain_E15_S1,338,0.45409198231804754,0.5939682309803905,0.5880100207131955,0.628921050827473,0.5939682309803905,0.16194077
Mouse_Brain_E15_S1,3127,0.4284779870863642,0.5867027902567531,0.5805038185085345,0.6100780781225642,0.5867027902567532,0.18206523
Mouse_Brain_E15_S1,2001,0.4942020401346534,0.6334420959215825,0.6280308896635961,0.6680064327830063,0.6334420959215825,0.14022449
Mouse_Brain_E15_S1,2022,0.40341831978757214,0.5948139126563164,0.5888544507562156,0.6292917315188031,0.5948139126563164,0.16116723
Mouse_Brain_E15_S1,574,0.43654198479635276,0.5859943600466399,0.5797735596606215,0.6091669773161861,0.5859943600466399,0.14675078
Mouse_Brain_E15_S1,2428,0.47876377911629725,0.5821759721846296,0.5759766667846454,0.6103355413649705,0.5821759721846297,0.1441775
Mouse_Brain_E15_S1,999,0.4105504883405646,0.5724094727181611,0.5660777812366826,0.6016874523919528,0.572409472718161,0.13215369
Mouse_Brain_E15_S1,1187,0.4701115186332555,0.6089719542817154,0.6032007290140772,0.6422259239099803,0.6089719542817154,0.17195968
Mouse_Brain_E15_S1,42,0.4946593131832657,0.632600399373326,0.6271893396270606,0.6680153002088378,0.6326003993733259,0.1791959
Mouse_Brain_E15_S1,3999,0.392089961310001,0.5737199173386045,0.567549664702112,0.6144115530458563,0.5737199173386046,0.14962195
