dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E18_S1,13,0.5486184153129811,0.5982341518475328,0.5905684917812781,0.6212363290334797,0.5982341518475327,0.13634734
Mouse_Brain_E18_S1,2560,0.5428733930404555,0.612496821548792,0.6051440092312749,0.6420648307065543,0.6124968215487919,0.1778605
Mouse_Brain_E18_S1,641,0.5334281046322521,0.5935696302256442,0.5858448094645832,0.619669647268148,0.5935696302256444,0.13808092
Mouse_Brain_E18_S1,1892,0.5778540583710257,0.6165926247144636,0.6092661050653588,0.6385006647844406,0.6165926247144636,0.14672361
Mouse_Brain_E18_S1,1173,0.5342534666981715,0.6093986623747315,0.6019617163176981,0.6328149427187523,0.6093986623747315,0.15635909
Mouse_Brain_E18_S1,69,0.48198805520241256,0.6169638135167265,0.6097916242411138,0.655135823402815,0.6169638135167265,0.17443523
Mouse_Brain_E18_S1,2024,0.36835410123166074,0.5826637866074071,0.5748992714030401,0.6251602548746539,0.5826637866074073,0.1353475
Mouse_Brain_E18_S1,231,0.3830542937016777,0.5762438955124496,0.5683298743380635,0.6133763993602855,0.5762438955124496,0.14200161
Mouse_Brain_E18_S1,1971,0.5172146370884584,0.5961056628826535,0.5883859845441085,0.6163443325267993,0.5961056628826535,0.15358356
Mouse_Brain_E18_S1,2497,0.4451441940735091,0.6140851300326255,0.606922059902936,0.658053355095027,0.6140851300326255,0.17748341
Mouse_Brain_E18_S1,338,0.307198114891677,0.5762523304167557,0.5684231269451808,0.6219735909222925,0.5762523304167557,0.14465228
Mouse_Brain_E18_S1,3127,0.36657068040962726,0.5872032788420328,0.579462260449218,0.6227258529092965,0.5872032788420328,0.15262353
Mouse_Brain_E18_S1,2001,0.39730232428184636,0.5901458433182222,0.5824377985324845,0.6244219586023824,0.5901458433182221,0.14992584
Mouse_Brain_E18_S1,2022,0.4368711368227776,0.605532274034642,0.5982011730972263,0.648302164641579,0.6055322740346419,0.17275605
Mouse_Brain_E18_S1,574,0.40670559670443496,0.6024425802307578,0.5950328065589583,0.6432239460598008,0.6024425802307577,0.1495295
Mouse_Brain_E18_S1,2428,0.4009360265168424,0.5769636276128034,0.5689621826401018,0.605353180205799,0.5769636276128035,0.15797944
Mouse_Brain_E18_S1,999,0.5529083725269939,0.5987490121458826,0.5911410624155609,0.6231343054177574,0.5987490121458826,0.121176295
Mouse_Brain_E18_S1,1187,0.4210275639570215,0.6140345050984638,0.6068658010490903,0.6573335475253289,0.6140345050984639,0.15709311
Mouse_Brain_E18_S1,42,0.39345831167791945,0.5880530640963367,0.5804118328105825,0.630707653751013,0.5880530640963368,0.12953272
Mouse_Brain_E18_S1,3999,0.4047979177695689,0.5954322495132957,0.5879732711507231,0.644470565773637,0.5954322495132957,0.15168716
