dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E11_S1,13,0.3470672209813175,0.46395551970219867,0.45783389099572064,0.5407794048323622,0.4639555197021987,0.13772286
Mouse_Brain_E11_S1,2560,0.30907869634561896,0.4350273789331972,0.42856302935544865,0.5059060601839461,0.43502737893319715,0.12627386
Mouse_Brain_E11_S1,641,0.3275737882387731,0.43094069567924376,0.42451027413843745,0.5099711086521028,0.43094069567924376,0.14528461
Mouse_Brain_E11_S1,1892,0.35819568391153045,0.5148277975439179,0.5093313473542628,0.6063559394153425,0.5148277975439178,0.16029084
Mouse_Brain_E11_S1,1173,0.3710321299399687,0.4759574813236031,0.4699344940598115,0.5497069116879103,0.4759574813236032,0.16600993
Mouse_Brain_E11_S1,69,0.3929429163901128,0.4947138830806425,0.48888343622805563,0.5668235671527433,0.4947138830806425,0.15969294
Mouse_Brain_E11_S1,2024,0.4881159707499845,0.5351655991135386,0.5297368290100222,0.6040868552155522,0.5351655991135384,0.17464392
Mouse_Brain_E11_S1,231,0.3746220287486415,0.49923798677831643,0.4935104677225434,0.5795588389559243,0.4992379867783165,0.18317193
Mouse_Brain_E11_S1,1971,0.289698619109405,0.413484249409798,0.4068194446798014,0.485449706309624,0.413484249409798,0.14376007
Mouse_Brain_E11_S1,2497,0.3190266235329242,0.4354915351538799,0.4289744365244379,0.49881404608713226,0.43549153515387995,0.11858409
Mouse_Brain_E11_S1,338,0.34087263392073897,0.46294162109159026,0.456856346977968,0.545418744722863,0.46294162109159026,0.15497372
Mouse_Brain_E11_S1,3127,0.40749840228960366,0.47920243482073194,0.47311057693684866,0.5384808998512418,0.479202434820732,0.15734825
Mouse_Brain_E11_S1,2001,0.33696619968926916,0.49430856553714053,0.48853703579808716,0.5764028041759129,0.49430856553714053,0.10807368
Mouse_Brain_E11_S1,2022,0.31484750249537985,0.4262663593832038,0.41978478927844354,0.5044812783633877,0.4262663593832038,0.14707275
Mouse_Brain_E11_S1,574,0.33134373198675443,0.43028006764219456,0.42381109635450914,0.5057898844830354,0.43028006764219456,0.15642029
Mouse_Brain_E11_S1,2428,0.4502815351612663,0.5250307642274842,0.5195505707931658,0.6032487771461853,0.5250307642274841,0.1613223
Mouse_Brain_E11_S1,999,0.36374528056878036,0.48463292310333134,0.4787261607833186,0.5595042239377539,0.4846329231033313,0.15668605
Mouse_Brain_E11_S1,1187,0.379574448517026,0.5007813398566252,0.49510826155542914,0.5879868821401826,0.5007813398566252,0.17234777
Mouse_Brain_E11_S1,42,0.28686984321700415,0.4205153782125647,0.4139006933430481,0.489512354643804,0.42051537821256463,0.16145444
Mouse_Brain_E11_S1,3999,0.21478739864896212,0.3488100218054165,0.34133146086275434,0.4032407007168681,0.3488100218054165,0.058018237
