dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E13_S1,13,0.12110745350126591,0.2744313280955111,0.26251510117113,0.3369673275818042,0.274431328095511,0.09442295
Mouse_Brain_E13_S1,2560,0.13651708285841463,0.31667384091390505,0.30507736361550897,0.3710205142135229,0.31667384091390505,0.09510579
Mouse_Brain_E13_S1,641,0.14692486482071518,0.29378672170933046,0.28191876221669177,0.3471490472425025,0.29378672170933046,0.05650955
Mouse_Brain_E13_S1,1892,0.08880915303981661,0.23325733602361723,0.22059300447473995,0.28230628391398727,0.23325733602361726,0.055079162
Mouse_Brain_E13_S1,1173,0.13320542339305988,0.32421250010502156,0.31293133784022864,0.38797298475911135,0.3242125001050215,0.082058914
Mouse_Brain_E13_S1,69,0.1032792393459196,0.28330054977453084,0.27138537418885433,0.34110704831290023,0.28330054977453084,0.08831413
Mouse_Brain_E13_S1,2024,0.10251440009951314,0.27740496085883243,0.26540628473395184,0.3352699031089765,0.27740496085883243,0.08357835
Mouse_Brain_E13_S1,231,0.09856365383586227,0.26193335057973055,0.2497110728946713,0.31495301638605644,0.26193335057973055,0.102066495
Mouse_Brain_E13_S1,1971,0.10366395360724194,0.2542368356067351,0.24162275533154665,0.29845956087307474,0.2542368356067351,0.029067459
Mouse_Brain_E13_S1,2497,0.1010463635291414,0.2561909296062704,0.24383709530147435,0.30956761562405366,0.2561909296062704,0.072756104
Mouse_Brain_E13_S1,338,0.11656934151119444,0.29235399932213285,0.2805686473876266,0.3515049406378684,0.29235399932213285,0.10619396
Mouse_Brain_E13_S1,3127,0.1167738247546778,0.2773523511618693,0.2654056159466187,0.3359159948523962,0.27735235116186924,0.09191557
Mouse_Brain_E13_S1,2001,0.1002642082113049,0.2452185602445994,0.2328305872442681,0.30155203040311246,0.24521856024459943,0.060177118
Mouse_Brain_E13_S1,2022,0.10304122837219877,0.2665891748014991,0.2545537318544841,0.3261323439870397,0.266589174801499,0.09367066
Mouse_Brain_E13_S1,574,0.1101363082742676,0.2699821545176066,0.25800126098161175,0.33142927093533114,0.2699821545176066,0.06937809
Mouse_Brain_E13_S1,2428,0.10374854514530009,0.2508382648038599,0.23842245792685524,0.30348958375490187,0.2508382648038599,0.06274745
Mouse_Brain_E13_S1,999,0.10024428640160249,0.2374965066753845,0.22494134636872778,0.290283698428269,0.23749650667538444,0.039830226
Mouse_Brain_E13_S1,1187,0.10536135994326797,0.250678927677779,0.23832389003818583,0.30548280293630076,0.25067892767777905,0.065832175
Mouse_Brain_E13_S1,42,0.09816835778662578,0.2610698086289785,0.24897655124723062,0.3223529440408532,0.2610698086289785,0.0725649
Mouse_Brain_E13_S1,3999,0.11657105049520876,0.2841505044480226,0.2724310010442527,0.3510625494521497,0.28415050444802264,0.07895622
